id,kind,source,title,provenance,text
DOC-P01,protocol,AYU-008 protocol v2.1 §7.3,Safety monitoring schedule,Synthetic,Liver function tests including ALT AST and bilirubin are performed at baseline and every 8 weeks until end of treatment at week 24. Additional unscheduled testing is performed at investigator discretion where clinically indicated.
DOC-P02,protocol,AYU-008 protocol v2.1 §7.6,Adverse event reporting,Synthetic,Any clinically significant laboratory abnormality is recorded as an adverse event. Hepatic enzyme elevation above three times the upper limit of normal requires repeat testing within seven days and consideration of dechallenge.
DOC-P03,protocol,AYU-008 protocol v2.1 §4.2,Eligibility criteria,Synthetic,Adults aged 30 to 65 years with confirmed type 2 diabetes mellitus of at least six months duration. Exclusion criteria include known hepatic impairment baseline ALT above twice the upper limit of normal and concomitant hepatotoxic medication.
DOC-P04,protocol,AYU-008 protocol v2.1 §5.1,Dosing and administration,Synthetic,AYU-008 is administered as 500 mg twice daily by the oral route for 24 weeks. Dose reduction is not permitted; treatment interruption is permitted for adverse events at investigator discretion.
DOC-A01,ayurveda,Formulation dossier AYU-008 §2,Constituent profile,Synthetic — fictional constituents,AYU-008 is a standardised polyherbal formulation containing four constituent fractions designated C-1 through C-4. Constituent C-3 is standardised to a marker compound quantified by HPLC in each batch.
DOC-A02,ayurveda,Formulation dossier AYU-008 §6,Hepatic safety considerations,Synthetic — fictional constituents,Preclinical evaluation of constituent C-3 recorded transient transaminase elevation at supratherapeutic exposure in a rodent model with recovery on withdrawal. No hepatic finding was recorded for constituents C-1 C-2 or C-4.
DOC-A03,ayurveda,Ayurvedic pharmacovigilance guidance (demonstration),Monitoring of polyherbal formulations,Synthetic,Polyherbal preparations present an attribution problem absent from single-molecule products because an observed effect cannot be assigned to a constituent without dechallenge rechallenge or batch-level analysis. Where a hepatic signal emerges constituent-level review of the batch record is indicated.
DOC-A04,ayurveda,Classical reference index (demonstration),Terminology mapping,Synthetic,The classical term kamala denotes a jaundice-like presentation and is mapped in this system to the controlled term Jaundice. Mapping classical terminology to controlled terms is required before disproportionality analysis because unmapped synonyms fragment a signal across several terms.
DOC-H01,historical,Trial registry extract AYU-003 (demonstration),Related formulation hepatic observation,Synthetic,A 2024 phase II trial of a related polyherbal formulation sharing constituent C-3 recorded four cases of asymptomatic transaminase elevation among 210 participants between day 38 and day 55 of exposure. All resolved on withdrawal of study medication.
DOC-H02,historical,Trial registry extract AYU-006 (demonstration),Comparable population no hepatic finding,Synthetic,A 2025 phase II trial in adults aged 30 to 65 with type 2 diabetes mellitus enrolled 180 participants and recorded no hepatic enzyme elevation over 24 weeks of exposure. The formulation studied did not contain constituent C-3.
DOC-H03,historical,Trial registry extract AYU-001 (demonstration),Similar indication different endpoint,Synthetic,A 2023 trial in the same indication reported gastrointestinal intolerance as the most frequent adverse event. No hepatic parameter was collected beyond baseline so the absence of a hepatic finding is not informative.
DOC-C01,publication,Clinical literature summary (demonstration),Timing of drug-induced transaminase elevation,Synthetic,Drug-induced hepatocellular injury most commonly presents between four and twelve weeks of exposure. Asymptomatic transaminase elevation detected on scheduled monitoring is the usual first indication; symptomatic presentation is less common and later.
DOC-C02,publication,Clinical literature summary (demonstration),Monitoring interval and detection,Synthetic,Where events cluster inside a monitoring interval the interval itself limits how early the pattern can be detected. Shortening the interval increases detection sensitivity at the cost of participant burden and screening volume.
DOC-C03,publication,Clinical literature summary (demonstration),Disproportionality is not causation,Synthetic,A proportional reporting ratio quantifies how over-represented a term is in one exposure group relative to a comparator. It is a triage statistic. It does not establish causation and is sensitive to reporting behaviour and to small case counts.
DOC-C04,publication,Clinical literature summary (demonstration),Dechallenge and rechallenge,Synthetic,Resolution of an abnormality on withdrawal of the suspect product supports association. Recurrence on re-exposure supports it more strongly but deliberate rechallenge is rarely justified where the initial event was serious.
DOC-R01,regulatory,NDCT Rules 2019 Third Schedule (demonstration summary),Serious adverse event reporting timelines,Synthetic summary of a real instrument,A serious adverse event occurring in a clinical trial must be reported to the Ethics Committee and the licensing authority within 24 hours with a detailed narrative within 14 days. Events not meeting seriousness criteria are recorded and reported in periodic safety reporting.
DOC-R02,regulatory,CDSCO guidance (demonstration summary),Investigator responsibility for causality,Synthetic summary,Causality assessment for an adverse event is the responsibility of the investigator. Automated systems may order and present evidence but the determination of relatedness is a clinical judgement recorded by a named person.
